price,live_rooms,live_square,map_city,map_lat,map_lon,year,house_complex_name,flat_floor,house_floor_num,flat_building,flat_renovation,live_furniture,flat_toilet,mortgage,flat_priv_dorm
67000000,2,72,алматы,43.204349559411,76.886174463123,2016,756.0,10.0,13.0,3.0,2.0,1.0,3.0,0.0,2.0
36500000,1,40,алматы,43.236930943868,76.887052909439,2018,997.0,7.0,9.0,3.0,1.0,2.0,2.0,0.0,2.0
53000000,2,45,алматы,43.24101388979,76.909655808138,2019,984.0,13.0,14.0,3.0,2.0,1.0,2.0,0.0,2.0
30000000,2,45,алматы,43.237643,76.836014,1983,1601.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
47000000,3,74,алматы,43.253079786805,76.898020505906,2018,1323.0,12.0,13.0,3.0,6.0,2.0,2.0,0.0,2.0
26990000,2,40,алматы,43.242279029898,76.832451788835,2018,995.0,6.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
27000000,2,46,алматы,43.215945,76.868668,1967,1601.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0
20000000,1,30,алматы,43.242961386067,76.81361744667,2011,11.0,2.0,10.0,3.0,1.0,3.0,2.0,0.0,2.0
26700000,1,55,алматы,43.287754537086,77.00044444047,2020,2427.0,2.0,9.0,3.0,1.0,1.0,2.0,0.0,2.0
26000000,2,48,алматы,43.173656617135,76.799913054092,2023,2069.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0
26000000,2,46,алматы,43.33284,76.946651,2014,349.0,4.0,5.0,3.0,2.0,2.0,2.0,0.0,2.0
69500000,2,80,алматы,43.230028241857,76.876761868133,2019,1401.0,12.0,16.0,3.0,1.0,2.0,2.0,0.0,2.0
29000000,2,43,алматы,43.250022,76.855607,1982,2377.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
74000000,3,82,алматы,43.211374899261,76.793861972402,2022,2075.0,8.0,12.0,3.0,1.0,2.0,1.0,0.0,2.0
20500000,2,44,алматы,43.336828874829,76.912138223382,1985,20.0,5.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0
35000000,3,62,алматы,43.255156,76.87837,1981,2318.0,5.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
27900000,1,34,алматы,43.24771183422,76.854029477247,2025,3433.0,7.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
57000000,2,60,алматы,43.230382134553,76.881910290982,2018,983.0,10.0,12.0,3.0,1.0,1.0,1.0,0.0,2.0
47000000,3,58,алматы,43.258827,76.92608,1979,349.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0
9800000,1,32,алматы,43.231909,76.760403,2019,2224.0,2.0,2.0,3.0,6.0,2.0,2.0,0.0,2.0
25500000,1,44,алматы,43.307182,76.900981,1986,491.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0
30000000,2,50,алматы,43.236103607422,76.820861550925,1991,1601.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
41000000,3,67,алматы,43.274502302328,76.815229655076,2024,2147.0,10.0,12.0,3.0,1.0,2.0,2.0,0.0,2.0
33500000,2,45,алматы,43.244354,76.902939,1982,3011.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0
32000000,2,45,алматы,43.246970041536,76.852302446655,2021,2129.0,9.0,10.0,3.0,1.0,2.0,2.0,0.0,2.0
65000000,3,109,алматы,43.243105307149,76.854817110286,2024,2375.0,15.0,16.0,3.0,6.0,2.0,3.0,0.0,2.0
85000000,3,100,алматы,43.206511012143,76.891760364306,2006,67.0,11.0,15.0,3.0,1.0,2.0,3.0,0.0,2.0
75000000,3,95,алматы,43.245963,76.905769,2021,1519.0,10.0,12.0,3.0,1.0,2.0,2.0,0.0,2.0
34500000,2,46,алматы,43.252763617273,76.862965458284,2024,2523.0,10.0,13.0,3.0,1.0,1.0,2.0,0.0,2.0
47000000,2,47,алматы,43.25712801158,76.914003916069,2016,729.0,7.0,12.0,3.0,1.0,1.0,2.0,0.0,2.0
79500000,3,84,алматы,43.230754022994,76.881036758423,2019,983.0,10.0,12.0,3.0,1.0,1.0,3.0,0.0,2.0
42000000,2,52,алматы,43.214585,76.893408,1958,2513.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0
50000000,4,100,алматы,43.331863,76.951448,1982,3020.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0
42000000,2,70,алматы,43.220334,76.786526,2020,1124.0,10.0,10.0,3.0,1.0,1.0,3.0,0.0,2.0
25500000,2,65,алматы,43.300794119199,76.839451789856,2016,1239.0,5.0,5.0,3.0,2.0,2.0,1.0,0.0,2.0
43000000,2,52,алматы,43.217796542867,76.894289636292,1985,2100.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0
38500000,2,63,алматы,43.249017,76.88508,1987,982.0,4.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
79000000,3,80,алматы,43.331863,77.055949,1979,1601.0,5.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0
78000000,3,78,алматы,43.233597364995,76.921806335449,2019,1075.0,7.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
25000000,2,52,алматы,43.221705980823,76.786440765848,2020,1124.0,9.0,10.0,3.0,2.0,1.0,2.0,0.0,2.0
26000000,2,51,алматы,43.258197559615,76.820061777958,2024,3014.0,1.0,6.0,3.0,6.0,2.0,2.0,0.0,2.0
32500000,3,60,алматы,43.230437,76.854223,1967,3014.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0
10000000,1,32,алматы,43.35696,76.919549,2008,1601.0,4.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0
12500000,1,14,алматы,43.230444,76.866,1968,199.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0
32500000,1,50,алматы,43.219191,76.841979,2009,1549.0,5.0,12.0,3.0,2.0,2.0,2.0,0.0,2.0
53500000,3,100,алматы,43.237285422135,76.882590165418,2024,2555.0,7.0,20.0,3.0,6.0,2.0,3.0,0.0,2.0
17500000,1,30,алматы,43.224492739657,76.783098338587,2019,3469.0,6.0,10.0,3.0,1.0,2.0,2.0,0.0,2.0
31500000,1,45,алматы,43.250764,76.814266,2020,1601.0,12.0,12.0,3.0,1.0,1.0,2.0,0.0,2.0
26500000,2,57,алматы,43.342505,76.829717,2020,2220.0,6.0,6.0,3.0,2.0,1.0,2.0,0.0,2.0
